Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
China,CHN,GDP per person employed (constant 1990 PPP $),SL.GDP.PCAP.EM.KD,6553.757813,7053.375977,7624.646973,8304.691406,9067.948242,10012.6123,11209.3877,12703.79297,13951.99316,15207.08398,16777.57617,18326.94336,19730.35547,21230.38086,22763.43359
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.243927,96.55620575,96.85614014,97.1497879,97.44321442,97.74249268,98.06681061,98.39870453,98.74991608,99.11564636,99.7,99.74872589,99.91638184,99.98311615,99.99848938
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.775913207,2.639650215,4.595704331,6.2,7.3,8.523257003,10.52315262,16,22.6,28.9,34.3,38.3,42.30011749,45.8,47.9
China,CHN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,6.644332017,11.21820253,15.8630534,20.66477271,25.48113353,29.76687407,34.68664201,40.9414866,47.69694564,55.2645244,63.17336105,72.12191839,80.87231798,88.88624773,92.51732892
China,CHN,Telephone lines (per 100 people),IT.MLT.MAIN.P2,11.28655831,13.97185992,16.49578906,20.11315686,23.72558796,26.51625086,27.66953684,27.35165033,25.31650886,23.20386097,21.64970733,20.84966105,20.22638739,19.30765914,17.94317934
China,CHN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,43.79000092,42.625,41.27999878,39.24700165,37.95999908,35.82500076,33.50400162,31.24399948,29.54599953,27.84499931,26.23399925,24.50699997,23.16900063,21.9279995,20.72999954
China,CHN,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,28.12100029,28.05200005,28.03800011,29.38999939,29.36800003,29.61800003,29.94599915,29.95400047,30.06900024,30.09900093,30.15399933,29.96500015,29.48399925,28.83399963,28.06399918
China,CHN,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,28.08799934,29.32299995,30.68199921,31.36300087,32.67200089,34.55599976,36.54899979,38.80199814,40.38499832,42.05599976,43.61299896,45.52799988,47.34799957,49.23799896,51.20600128
China,CHN,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,54.98500061,54.16699982,53.0929985,51.39500046,49.2879982,47.65200043,45.9659996,44.24100113,42.48699951,41.59500122,40.22900009,39,38.21900177,37.63499832,37.05599976
China,CHN,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,45.01499939,45.83300018,46.9070015,48.60499954,50.7120018,52.34799957,54.0340004,55.75899887,57.51300049,58.40499878,59.77099991,61,61.78099823,62.36500168,62.94400024
Brazil,BRA,GDP per person employed (constant 1990 PPP $),SL.GDP.PCAP.EM.KD,27760.5957,27299.2793,27141.04297,27053.51172,27493.18945,27883.58594,28080.92578,29358.23438,30142.35156,29785.73633,31707.2207,32832.72266,33268.21875,33734.05859,33431.30078
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,94.46656799,96.016528,96.652996,96.980098,96.765107,97.093513,97.594314,98.125382,98.526625,98.856938,98.88305664,99.328691,99.519494,99.575151,99.650247
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.870685159,4.528494869,9.149425086,13.2075861,19.07367227,21.02274725,28.17838018,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.55100188
Brazil,BRA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,13.22864408,16.17196098,19.36206845,25.41249446,35.51236744,46.12216626,52.86352359,63.3315358,78.06102237,86.91075624,100.0679429,117.9533009,123.8145622,133.9368763,137.468532
Brazil,BRA,Telephone lines (per 100 people),IT.MLT.MAIN.P2,17.64316146,21.05802414,21.54341662,21.48429324,21.42429001,21.32097296,20.52785824,20.62519794,21.36773473,21.29186789,21.41372812,21.65511713,22.09068451,22.25108512,21.6088884
Brazil,BRA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,21.3029995,20.58600044,20.66699982,20.71899986,21.0189991,20.49799919,19.37599945,18.30400085,17.46299934,16.99099922,15.96199989,15.72599983,11.49600029,11.19900036,10.37100029
Brazil,BRA,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,20.2329998,19.9659996,21.4109993,20.93700027,21.04700089,21.44499969,21.40600014,22.02899933,22.67000008,22.15699959,22.29800034,21.76799965,23.01399994,22.93700027,22.88199997
